English;Spanish;German;Japanese;Chinese (Simplified);Chinese (Traditional);Korean;Portuguese;French;Italian;Dutch;Swedish;Norwegian;Danish;Hindi;Urdu;Russian;Arabic;Category
travel;viajar;reisen;旅行;旅行;旅行;여행하다;viagem;voyage;viaggio;reis;resa;reise;rejse;यात्रा;سفر;путешествовать;يسافر;Word
traveler;viajero;Reisender;旅行者;游客;遊客;여행자;viajante;voyageur;viaggiatore;reiziger;resande;reisende;rejsende;यात्री;مسافر;путешественник;مسافر;Word
treat;tratar;behandeln;扱う;对待;對待;대하다;tratar;traiter;trattare;traktatie;behandla;behandle;behandle;इलाज;علاج;обращаться;يعامل;Word
treatment;tratamiento;Behandlung;処理;治疗;治療;치료;tratamento;traitement;trattamento;behandeling;behandling;behandling;behandling;इलाज;علاج;уход;علاج;Word
tree;árbol;Baum;木;树;樹;나무;árvore;arbre;albero;boom;träd;tre;træ;पेड़;درخت;дерево;شجرة;Word
trend;tendencia;Trend;傾向;趋势;趨勢;경향;tendência;s'orienter;tendenza;tendens;trend;trend;tendens;रुझान;رجحان;тенденция;اتجاه;Word
trial;ensayo;Gerichtsverhandlung;トライアル;审判;審判;재판;julgamento;procès;prova;proces;rättegång;prøve;forsøg;परीक्षण;مقدمے کی سماعت;пробный;محاكمة;Word
triangle;triángulo;Dreieck;三角形;三角形;三角形;삼각형;triângulo;Triangle;triangolo;driehoek;triangel;triangel;trekant;त्रिकोण;مثلث;треугольник;مثلث;Word
trick;truco;Trick;騙す;诡计;詭計;장난;truque;astuce;trucco;truc;lura;triks;trick;चाल;چال;обманывать;حيلة;Word
trip;viaje;Reise;旅行;旅行;旅行;여행;viagem;voyage;viaggio;reis;resa;tur;rejse;यात्रा;سفر;путешествие;رحلة;Word
troop;tropa;Trupp;軍隊;部队;部隊;군대;tropa;troupe;truppe;troep;trupp;tropp;troppe;सेना;فوجوں;отряд;القوات;Word
tropical;tropical;tropisch;トロピカル;热带;熱帶;열렬한;tropical;tropical;tropicale;tropisch;tropisk;tropisk;tropisk;उष्णकटिबंधीय;اشنکٹبندیی;тропический;استوائي;Word
trouble;problema;Problem;問題;麻烦;麻煩;문제;dificuldade;inquiéter;guaio;probleem;problem;problemer;problemer;मुश्किल;مصیبت;беда;مشكلة;Word
truck;camión;LKW;トラック;卡车;卡車;트럭;caminhão;camion;camion;vrachtauto;lastbil;lastebil;lastbil;ट्रक;ٹرک;грузовик;شاحنة;Word
true;VERDADERO;WAHR;真実;真的;真的;진실;verdadeiro;vrai;VERO;WAAR;Sann;ekte;rigtigt;सत्य;سچ;истинный;حقيقي;Word
truly;realmente;wirklich;本当に;真的;真的;진심으로;verdadeiramente;vraiment;veramente;werkelijk;verkligt;virkelig;virkelig;सही मायने में;واقعی;действительно;حقا;Word
trust;confianza;Vertrauen;信頼;相信;相信;신뢰하다;confiar;confiance;Fiducia;vertrouwen;förtroende;tillit;tillid;विश्वास;اعتماد;доверять;يثق;Word
truth;verdad;Wahrheit;真実;真相;真相;진실;verdade;vérité;verità;waarheid;sanning;sannhet;sandhed;सच;سچائی;правда;حقيقة;Word
try;intentar;versuchen;試す;尝试;嘗試;노력하다;tentar;essayer;Tentativo;poging;Prova;prøve;prøve;कोशिश;کوشش کریں;пытаться;يحاول;Word
try out;probar;ausprobieren;試してみる;试用;試用;시도하다;experimentar;expérimenter;provare;probeer;Prova;prøve;prøve;कोशिश करें;کوشش کریں;проверять;جرِّب أو حاول;Word
tube;tubo;Rohr;チューブ;管子;管子;튜브;tubo;tube;tubo;buis;rör;rør;rør;नली;نالی;трубка;أنبوب;Word
Tuesday;Martes;Dienstag;火曜日;周二;週二;화요일;Terça-feira;Mardi;Martedì;Dinsdag;tisdag;tirsdag;tirsdag;मंगलवार;منگل;Вторник;يوم الثلاثاء;Word
tune;melodía;Melodie;曲;调;調;곡조;afinação;régler;sintonizzare;afstemmen;ställa in;melodi;tune;तराना;دھن;мелодия;نغم;Word
tunnel;túnel;Tunnel;トンネル;隧道;隧道;터널;túnel;tunnel;tunnel;tunnel;tunnel;tunnel;tunnel;सुरंग;سرنگ;туннель;نفق;Word
turn;doblar;drehen;振り向く;转动;轉動;회전하다;vez;tourner;giro;draai;sväng;sving;tur;मोड़;موڑ;повернуть;دور;Word
turn around;Giro de vuelta;umdrehen;振り向く;回转;迴轉;돌아서 다;inversão de marcha;faire demi-tour;girarsi;keer om;vänd dig om;snu;Vend om;मुड़ो;مڑنا;повернись;التف حوله;Word
turn back;volver;umkehren;引き返す;回头;回頭;뒤로 돌아 라;retornar;faire demi-tour;tornare indietro;terugdraaien;vänd om;snu;Vend om;वापसी;پیچھے مڑو;вернуться;تراجع;Word
TV;TELEVISOR;Fernseher;テレビ;电视;電視;TV;televisão;la télé;tv;TV;TV;TV;TV;टीवी;ٹی وی;ТВ;تلفزيون;Word
twice;dos veces;zweimal;二回;两次;兩次;두 배;duas vezes;deux fois;due volte;tweemaal;dubbelt;to ganger;to gange;दो बार;دو بار;дважды;مرتين;Word
twin;mellizo;Zwilling;ツイン;双胞胎;雙胞胎;쌍;gêmeo;double;gemello;tweeling;tvilling;tvilling;tvilling;जुड़वां;جڑواں;близнец;التوأم;Word
twist;girar;Twist;ねじれ;捻;捻;트위스트;torção;torsion;intrecciare;twist;vrida;vri;vride;मोड़;موڑ;крутить;إلتواء;Word
twisted;retorcido;verdrehte;ねじれた;扭曲的;扭曲的;꼬인;torcido;tordu;contorto;gedraaid;vriden;vridd;snoet;मुड़;مڑا ہوا;искривленный;ملتوية;Word
type;tipo;Typ;タイプ;类型;類型;유형;tipo;taper;tipo;type;typ;type;type;प्रकार;قسم;тип;يكتب;Word
typical;típico;typisch;典型的;典型的;典型的;전형적인;típica;typique;tipico;typisch;typisk;typisk;typisk;ठेठ;عام;типичный;عادي;Word
typically;típicamente;typisch;通常;通常;通常;일반적으로;tipicamente;typiquement;tipicamente;typisch;vanligtvis;typisk;typisk;आम तौर पर;عام طور پر;обычно;عادة;Word
ugly;feo;hässlich;醜い;丑陋的;醜陋的;못생긴;feio;laid;brutto;lelijk;ful;stygg;grim;कुरूप;بدصورت;уродливый;قبيح;Word
ultimate;último;ultimative;究極;最终的;最終的;궁극적인;final;ultime;definitivo;ultiem;slutlig;ultimat;ultimative;अंतिम;حتمی;окончательный;ذروة;Word
ultimately;por último;letzten Endes;最終的に;最终;最終;궁극적으로;em última análise;finalement;in definitiva;uiteindelijk;i sista hand;til syvende og sist;ultimativt;अंत में;بالآخر;в конечном счете;أخيرًا;Word
umbrella;paraguas;Regenschirm;傘;伞;傘;우산;guarda-chuva;parapluie;ombrello;paraplu;paraply;paraply;paraply;छाता;چھتری;зонтик;مظلة;Word
unable;incapaz;unfähig;できない;无法;無法;할 수 없는;impossível;incapable;incapace;niet in staat;oförmögen;ute av stand;ude af stand;अक्षम;قابل نہیں;не могущий;غير قادر;Word
unacceptable;inaceptable;inakzeptabel;容認できない;不可接受的;不可接受的;받아들일 수 없는;inaceitável;inacceptable;inaccettabile;onaanvaardbaar;oacceptabel;uakseptabelt;uacceptabelt;गवारा नहीं;ناقابل قبول;неприемлемо;غير مقبول;Word
uncertain;incierto;unsicher;不確実;不确定;不確定;불확실한;incerto;incertain;incerto;onzeker;osäker;usikker;usikker;ढुलमुल;غیر یقینی;неуверенный;غير مؤكد;Word
uncle;tío;Onkel;叔父;叔叔;叔叔;삼촌;tio;oncle;zio;oom;farbror;onkel;onkel;चाचा;چچا;дядя;عم;Word
uncomfortable;incómodo;unbequem;快適でない;不舒服;不舒服;불편한;desconfortável;inconfortable;scomodo;ongemakkelijk;obekväm;ubehagelig;ubehageligt;असुविधाजनक;غیر آرام دہ;неудобный;غير مريح;Word
unconscious;inconsciente;unbewusst;無意識;无意识;無意識;무의식;inconsciente;inconscient;inconscio;bewusteloos;medvetslös;bevisstløs;bevidstløs;अचेत;بے ہوش;бессознательный;غير واعي;Word
uncontrolled;sin control;unkontrolliert;制御されていない;不受控制的;不受控制的;억제 되지 않은;descontrolado;incontrôlé;incontrollata;ongecontroleerd;okontrollerad;ukontrollert;ukontrolleret;अनियंत्रित;بے قابو;неконтролируемый;غير منضبط;Word
under;bajo;unter;下;在下面;在下面;아래에;sob;sous;Sotto;onder;under;under;under;अंतर्गत;کے تحت;под;تحت;Word
underground;subterráneo;unter Tage;地下;地下;地下;지하철;subterrâneo;souterrain;metropolitana;ondergronds;underjordisk;under jorden;underjordisk;भूमिगत;زمین کے اندر;метро;تحت الارض;Word
underneath;debajo;unterhalb;下に;下;下;아래에;debaixo de;sous;sotto;onder;under;under;under;नीचे;نیچے;под;تحته;Word
understand;entender;verstehen;理解;理解;理解;이해하다;entender;comprendre;capire;begrijpen;förstå;forstå;forstå;समझना;سمجھنا;понимать;يفهم;Word
understanding;comprensión;Verständnis;理解;理解;理解;이해;entendimento;compréhension;comprensione;begrip;förståelse;forståelse;forståelse;समझ;سمجھ;понимание;فهم;Word
underwater;submarino;unter Wasser;水中;水下;水下;수중;embaixo da agua;sous-marin;sott'acqua;onderwater-;under vattnet;under vann;undervands-;पानी के नीचे;پانی کے اندر;под водой;تحت الماء;Word
underwear;ropa interior;Unterwäsche;下着;内衣;內衣;속옷;roupa de baixo;sous-vêtement;biancheria intima;ondergoed;underkläder;undertøy;undertøj;अंडरवियर;زیر جامہ;нижнее белье;ثياب داخلية;Word
undo;deshacer;rückgängig machen;元に戻す;撤消;撤消;실행 취소;desfazer;annuler;disfare;ongedaan maken;ångra;angre;fortryd;पूर्ववत;کالعدم;отменить;الغاء التحميل;Word
unemployed;desempleados;arbeitslos;失業者;失业的;失業的;한가한;desempregado;sans emploi;disoccupato;werkloos;arbetslös;arbeidsledig;arbejdsløs;बेरोजगार;بے روزگار;безработные;غير موظف;Word
unemployment;desempleo;Arbeitslosigkeit;失業;失业;失業;실업;desemprego;chômage;disoccupazione;werkloosheid;arbetslöshet;arbeidsledighet;arbejdsløshed;बेरोजगारी;بے روزگاری;безработица;البطالة;Word
unexpected;inesperado;unerwartet;予期しない;意外;意外;예기치 않은;inesperado;inattendu;inaspettato;niet verwacht;oväntat;uventet;uventet;अप्रत्याशित;غیر متوقع;непредвиденный;غير متوقع;Word
unfair;injusto;unfair;不公平;不公平;不公平;불공정;injusto;injuste;sleale;oneerlijk;orättvis;urettferdig;urimelig;अनुचित;غیر منصفانہ;несправедливый;غير منصف;Word
unfortunate;desgraciado;unglücklich;残念なことに;不幸的;不幸的;불행한 사람;infeliz;malheureux;sfortunato;ongelukkig;olyckligt;uheldig;uheldig;दुर्भाग्य;بدقسمتی;несчастный;مؤسف;Word
unfortunately;desafortunadamente;Leider;不幸にも;很遗憾;很遺憾;안타깝게도;infelizmente;malheureusement;Purtroppo;Helaas;tyvärr;dessverre;desværre;दुर्भाग्य से;بدقسمتی سے;к сожалению;للأسف;Word
unfriendly;antipático;unfreundlich;不親切な;不友好的;不友好的;해로운;hostil;hostile;ostile;onvriendelijk;ovänlig;uvennlig;uvenlig;अमित्र;غیر دوستانہ;недружелюбный;غير ودي;Word
unhappy;infeliz;unzufrieden;不幸;不开心;不開心;불행한;infeliz;malheureux;infelice;ongelukkig;olycklig;ulykkelig;ulykkelig;अप्रसन्न;ناخوش;несчастный;تعيس;Word
uniform;uniforme;Uniform;ユニフォーム;制服;制服;제복;uniforme;uniforme;uniforme;uniform;enhetlig;uniform;uniform;वर्दी;وردی;униформа;زي مُوحد;Word
unimportant;sin importancia;unwichtig;重要でない;不重要;不重要;중요하지 않은;sem importância;sans importance;irrilevante;onbelangrijk;oviktig;uviktig;uvæsentlig;महत्वहीन;غیر اہم;неважный;غير مهم;Word
union;Unión;Union;連合;联盟;聯盟;노동 조합;União;syndicat;unione;unie;union;fagforening;Union;मिलन;یونین;союз;اتحاد;Word
unique;único;einzigartig;個性的;独特的;獨特的;고유한;exclusivo;unique;unico;uniek;unik;unik;enestående;अद्वितीय;منفرد;уникальный;فريد;Word
unit;unidad;Einheit;ユニット;单元;單元;단위;unidade;unité;unità;eenheid;enhet;enhet;enhed;इकाई;یونٹ;единица;وحدة;Word
unite;unir;Vereinen;団結する;团结;團結;맞잡다;unir;unir;unire;verenigen;förena;forene;forene;एकजुट हो जाओ;متحد;объединяться;توحد;Word
united;unido;vereinigt;ユナイテッド;团结的;團結的;연합;unido;uni;unito;verenigd;förenad;forent;forenet;यूनाइटेड;متحد;объединенный;متحد;Word
universal;universal;Universal-;ユニバーサル;普遍的;普遍的;만능인;universal;universel;universale;universeel;universell;universell;universel;सार्वभौमिक;عالمگیر;универсальный;عالمي;Word
universe;universo;Universum;宇宙;宇宙;宇宙;우주;universo;univers;universo;universum;universum;univers;univers;ब्रह्मांड;کائنات;вселенная;كون;Word
university;universidad;Universität;大学;大学;大學;대학교;universidade;université;Università;Universiteit;universitet;universitet;universitet;विश्वविद्यालय;جامع درس گاہ;Университет;جامعة;Word
unkind;cruel;nicht nett;不親切;刻薄;刻薄;불친절한;cruel;méchant;scortese;onaardig;ovänlig;uvennlig;uvenlig;निर्दयी;بے رحم;недобрый;غير لطيف;Word
unknown;desconocido;Unbekannt;知らない;未知;未知;알려지지 않은;desconhecido;inconnu;sconosciuto;onbekend;okänd;ukjent;ukendt;अज्ञात;نامعلوم;неизвестный;مجهول;Word
unless;a menos que;es sei denn;そうでもなければ;除非;除非;~하지 않는 한;a menos que;sauf si;salvo che;tenzij;såvida inte;med mindre;med mindre;जब तक;جب تک;пока не;إلا إذا;Word
unlike;a diferencia de;nicht wie;ようではない;不像;不像;같지 않은;diferente;contrairement à;a differenza di;in tegenstelling tot;till skillnad från;I motsetning til;I modsætning til;भिन्न;کے برعکس;В отличие от;على عكس;Word
unlikely;improbable;unwahrscheinlich;ありそうもない;不太可能;不太可能;~할 것 같지 않은;improvável;peu probable;improbabile;onwaarschijnlijk;osannolik;lite sannsynlig;usandsynlig;संभावना नहीं;امکان نہیں;вряд ли;من غير المرجح;Word
unload;descargar;entladen;アンロード;卸下;卸下;부리다;descarregar;décharger;scaricare;lossen;lasta av;lesse;losse;अनलोड;اتارا;выгружать;تفريغ;Word
unlucky;desafortunado;unglücklich;不運;倒霉的;倒霉的;불길한;azarado;malchanceux;sfortunato;pech;olycklig;uheldig;uheldig;बदकिस्मत;بدقسمت;несчастливый;سيئ الحظ;Word
unnecessary;innecesario;unnötig;不要;不必要;不必要;불필요한;desnecessário;inutile;non necessario;onnodig;onödig;unødvendig;unødvendig;अनावश्यक;غیر ضروری;ненужный;غير ضروري;Word
unpleasant;desagradable;unangenehm;不快;不愉快;不愉快;불쾌한;desagradável;désagréable;sgradevole;onaangenaam;obehaglig;ubehagelig;ubehagelig;अप्रिय;ناخوشگوار;неприятный;غير سارة;Word
unreasonable;irrazonable;unvernünftig;理不尽;不合理;不合理;무모한;irracional;déraisonnable;irragionevole;onredelijk;orimlig;urimelig;urimelig;अकारण;غیر معقول;неразумный;غير منطقى;Word
unsteady;inestable;unsicher;不安定な;不稳定的;不穩定的;불안정한;instável;instable;instabile;wankel;ostadig;ustødig;ustabil;अस्थिर;غیر مستحکم;неустойчивый;غير مستقر;Word
unsuccessful;fracasado;erfolglos;不成功;不成功;不成功;실패;mal sucedido;infructueux;senza esito;mislukt;misslyckad;mislykket;mislykket;असफल;ناکام;неудачный;غير ناجح;Word
until;hasta;bis;それまで;直到;直到;~까지;até;jusqu'à;Fino a;tot;fram tills;før;indtil;जब तक;جب تک;до;حتى;Word
unusual;inusual;ungewöhnlich;普通でない;异常;異常;특이한;incomum;inhabituel;insolito;ongebruikelijk;ovanlig;uvanlig;usædvanlig;असामान्य;غیر معمولی;необычный;غير عادي;Word
unusually;extraordinariamente;ungewöhnlich;異常に;异常地;異常地;비정상적으로;incomumente;exceptionnellement;insolitamente;ongewoon;ovanligt;uvanlig;usædvanligt;असामान्य रूप से;غیر معمولی طور پر;необычно;بشكل غير عادي;Word
unwilling;reacio;nicht bereit;不本意;不愿意;不願意;마음 내키지 않는;relutante;réticent;riluttante;onwillig;ovillig;uvillig;uvillige;तैयार नहीं;ناپسندیدہ;нежелающий;غير راغبة;Word
up;arriba;hoch;上;向上;向上;위로;acima;en haut;su;omhoog;upp;opp;op;ऊपर;اوپر;вверх;أعلى;Word
upon;al;auf;その上;之上;之上;...에;sobre;sur;su;bij;på;på;på;ऊपर;پر;на;على;Word
upper;superior;Oberer, höher;アッパー;上;上;높은;superior;supérieur;superiore;bovenste;övre;øverste;øverst;अपर;اوپری;верхний;العلوي;Word
upset;decepcionado;verärgern;動揺;沮丧的;沮喪的;속상한;chateado;bouleversé;Rovesciato;boos;upprörd;opprørt;ked af det;परेशान;پریشان;расстройство;منزعج;Word
upside down;Al revés;verkehrt herum;逆さまに;倒挂;倒掛;상하 반전;de cabeça para baixo;à l'envers;sottosopra;ondersteboven;upp och ner;opp ned;omvendt;उल्टा;الٹا;с ног на голову;رأسا على عقب;Word
upstairs;piso superior;nach oben;二階;楼上;樓上;높은 곳에 있는;lá em cima;à l'étage;di sopra;boven;på övervåningen;oppe;ovenpå;ऊपर;اوپر;вверх по лестнице;الطابق العلوي;Word
upward;hacia arriba;nach oben;上向き;向上;向上;상승;para cima;vers le haut;in su;naar boven;uppåt;oppover;opad;ऊपर की ओर;اضافہ;вверх;صاعد;Word
urban;urbano;urban;都市;城市的;城市的;도시의;urbano;urbain;urbano;stedelijk;urban;Urban;by;शहरी;شہری;городской;حضري;Word
urge;urgir;Drang;衝動;敦促;敦促;충고하다;urgir;envie;sollecitare;drang;enträget uppmana;trang;trang til;प्रबल इच्छा;زور دینا;побуждать;يحث;Word
urgent;urgente;dringend;急;紧迫的;緊迫的;긴급한;urgente;urgent;urgente;dringend;brådskande;som haster;presserende;अति आवश्यक;فوری;срочный;عاجل;Word
us;a nosotros;uns;私たち;我们;我們;우리를;nós;nous;noi;ons;oss;oss;os;हम;ہم;нас;نحن;Word
use;usar;verwenden;使用;使用;使用;사용;usar;utiliser;utilizzo;gebruik;använda sig av;bruk;brug;उपयोग;استعمال کریں;использовать;يستخدم;Word
used 1;usado 1;gebraucht 1;中古 1;用过 1;用過 1;중고 1;usado 1;utilisé 1;usato 1;gebruikte 1;använd 1;brukt 1;brugt 1;इस्तेमाल किया 1;استعمال کیا جاتا ہے 1;б/у 1;تستخدم 1;Word
used 2;usado 2;gebraucht 2;中古 2;用过 2;用過 2;중고 2;usado 2;utilisé 2;usato 2;gebruikt 2;använd 2;brukt 2;brugt 2;इस्तेमाल किया 2;استعمال کیا جاتا ہے 2;б/у 2;تستخدم 2;Word
used to;solía hacerlo;gewöhnt an;慣れている;习惯于;習慣於;사용;costumava ser;habitué;abituato a;gewend om;brukade;pleide å;plejede;अभ्यस्त;کرنے کے لئے استعمال کیا;привыкший;تستخدم ل;Word
useful;útil;nützlich;使える;有用;有用;유용한;útil;utile;utile;bruikbaar;användbar;nyttig;nyttig;उपयोगी;مفید;полезный;مفيد;Word
useless;inútil;nutzlos;使い物にならない;无用;無用;쓸모 없는;inútil;inutile;inutile;nutteloos;onyttig;ubrukelig;ubrugelig;बेकार;بیکار;бесполезный;عديم الفائدة;Word
user;usuario;Benutzer;ユーザー;用户;用戶;사용자;do utilizador;utilisateur;utente;gebruiker;användare;bruker;bruger;उपयोगकर्ता;صارف;пользователь;مستخدم;Word
usual;habitual;üblich;いつもの;通常;通常;보통의;habitual;habituel;solito;gebruikelijk;vanliga;vanlig;sædvanlig;साधारण;معمول;обычный;معتاد;Word
usually;generalmente;normalerweise;いつもの;通常;通常;대개;geralmente;généralement;Generalmente;gebruikelijk;vanligtvis;som oftest;som regel;आम तौर पर;عام طور پر;обычно;عادة;Word
vacation;vacaciones;Urlaub;休暇;假期;假期;휴가;férias;vacances;vacanza;vakantie;semester;ferie;ferie;छुट्टी;چھٹی;отпуск;أجازة;Word
valid;válido;gültig;有効;有效的;有效的;유효한;válido;valide;valido;geldig;giltig;gyldig;gyldig;वैध;درست;действительный;صالح;Word
valley;valle;Schlucht;谷;谷;谷;골짜기;vale;vallée;valle;vallei;dal;dal;dal;घाटी;وادی;долина;الوادي;Word
valuable;valioso;wertvoll;貴重;有价值的;有價值的;귀중한;de valor;précieux;prezioso;waardevol;värdefulla;verdifulle;værdifuld;कीमती;قیمتی;ценный;قيّم;Word
value;valor;Wert;価値;价值;價值;값;valor;valeur;valore;waarde;värde;verdi;værdi;कीमत;قدر;ценить;قيمة;Word
van;camioneta;Lieferwagen;バン;货车;貨車;봉고차;furgão;van;furgone;busje;skåpbil;varebil;varevogn;वैन;وین;фургон;سيارة نقل;Word
variation;variación;Variation;変化;变化;變化;변화;variação;variation;variazione;variatie;variation;variasjon;variation;उतार-चढ़ाव;تغیر;вариация;تفاوت;Word
varied;variado;abwechslungsreich;さまざまな;多变;多變;변화 많은;variado;varié;vario;gevarieerd;varierande;variert;varieret;विभिन्न;متنوع;разнообразный;متنوع;Word
variety;variedad;Vielfalt;バラエティ;种类;種類;다양성;variedade;variété;varietà;verscheidenheid;mängd;variasjon;bred vifte;विविधता;مختلف قسم;разнообразие;متنوع;Word
various;varios;verschieden;様々;各种各样的;各種各樣的;다양한;vários;divers;vari;verscheidene;olika;diverse;forskellige;विभिन्न;مختلف;различный;متنوع;Word
vary;variar;variieren;変化;各不相同;各不相同;달라지다;variar;varier;variare;variëren;variera;variere;variere;अलग होना;مختلف;отличаться;يتغير;Word
vast;vasto;groß;広大;广阔的;廣闊的;대단한;grande;vaste;vasto;uitgestrekt;omfattande;enorme;stort;बहुत बड़ा;وسیع;огромный;واسع;Word
vegetable;verdura;Gemüse;野菜;蔬菜;蔬菜;채소;vegetal;légume;verdura;groente;grönsak;grønnsak;grøntsag;सब्ज़ी;سبزی;овощ;الخضروات;Word
vehicle;vehículo;Fahrzeug;車両;车辆;車輛;차량;veículo;véhicule;veicolo;voertuig;fordon;kjøretøy;køretøj;वाहन;گاڑی;транспортное средство;عربة;Word
venture;empresa;wagen;ベンチャー;冒险;冒險;투기;risco;entreprise;avventurarsi;onderneming;våga;venture;venture;उद्यम;وینچر;риск;يغامر;Word
version;versión;Ausführung;バージョン;版本;版本;버전;versão;version;versione;versie;version;versjon;version;संस्करण;ورژن;версия;إصدار;Word
vertical;vertical;Vertikale;垂直;垂直的;垂直的;수직의;vertical;vertical;verticale;verticaal;vertikal;vertikal;lodret;खड़ा;عمودی;вертикальный;رَأسِيّ;Word
very;muy;sehr;とても;非常;非常;매우;muito;très;molto;erg;mycket;veldig;meget;बहुत;بہت;очень;جداً;Word
via;a través de;über;経由;通过;通過;~을 통해;através da;via;attraverso;via;via;via;via;के जरिए;ذریعے;с помощью;عبر;Word
victim;víctima;Opfer;被害者;受害者;受害者;피해자;vítima;victime;vittima;slachtoffer;offer;offer;offer;पीड़ित;مظلوم;жертва;ضحية;Word
victory;victoria;Sieg;勝利;胜利;勝利;승리;vitória;la victoire;vittoria;zege;seger;seier;sejr;विजय;فتح;победа;فوز;Word
video;video;Video;ビデオ;视频;視頻;동영상;vídeo;vidéo;video;video;video;video;video;वीडियो;ویڈیو;видео;فيديو;Word
view;vista;Sicht;意見;看法;看法;보다;visualizar;voir;visualizzazione;weergave;se;utsikt;udsigt;देखना;دیکھیں;вид;منظر;Word
violence;violencia;Gewalt;暴力;暴力;暴力;폭행;violência;violence;violenza;geweld;våld;vold;vold;हिंसा;تشدد;насилие;عنف;Word
violent;violento;gewalttätig;暴力的な;暴力;暴力;폭력적인;violento;violent;violento;gewelddadig;våldsam;voldelig;voldsom;हिंसक;پرتشدد;жестокий;عنيف;Word
violently;violentamente;heftig;激しく;猛烈地;猛烈地;맹렬히;violentamente;violemment;violentemente;met geweld;våldsamt;voldelig;voldsomt;बलपूर्वक;تشدد سے;яростно;بعنف;Word
virtually;virtualmente;virtuell;事実上;几乎;幾乎;사실상;virtualmente;virtuellement;virtualmente;virtueel;praktiskt taget;så og si;stort set;आभासी रूप से;عملی طور پر;практически;افتراضيًا;Word
virus;virus;Virus;ウイルス;病毒;病毒;바이러스;vírus;virus;virus;virus;virus;virus;virus;वाइरस;وائرس;вирус;فايروس;Word
visible;visible;sichtbar;見える;可见的;可見的;보이는;visível;visible;visibile;zichtbaar;synlig;synlig;synlig;दृश्यमान;نظر آنے والا;видимый;مرئي;Word
vision;visión;Vision;ヴィジョン;想象;想像;비전;visão;vision;visione;visie;syn;syn;vision;दृष्टि;اولین مقصد;зрение;رؤية;Word
visit;visita;besuchen;訪問;访问;訪問;방문하다;Visita;visite;visita;bezoek;besök;besøk;besøg;मिलने जाना;دورہ;посещать;يزور;Word
visitor;visitante;Besucher;ビジター;游客;遊客;방문객;Visitante;visiteur;visitatore;bezoeker;besökare;besøkende;besøgende;आगंतुक;وزیٹر;посетитель;زائر;Word
vital;vital;lebenswichtig;重要;必不可少的;必不可少的;필수적인;vital;vital;vitale;van vitaal belang;avgörande;livsviktig;vital;अत्यावश्यक;اہم;жизненно важный;حيوي;Word
vocabulary;vocabulario;Wortschatz;ボキャブラリー;词汇;詞彙;어휘;vocabulário;vocabulaire;vocabolario;vocabulaire;ordförråd;ordforråd;ordforråd;शब्दावली;الفاظ;словарный запас;مفردات;Word
voice;voz;Stimme;声;嗓音;嗓音;목소리;voz;voix;voce;stem;röst;stemme;stemme;आवाज़;آواز;голос;صوت;Word
volume;volumen;Volumen;音量;体积;體積;용량;volume;volume;volume;volume;volym;volum;bind;आयतन;حجم;объем;مقدار;Word
vote;votar;Abstimmung;投票;投票;投票;투표;voto;vote;votazione;stemmen;rösta;stemme;stemme;वोट;ووٹ;голосование;تصويت;Word
wage;salario;Lohn;賃金;工资;工資;값;remuneração;salaire;salario;salaris;lön;lønn;løn;वेतन;اجرت;заработная плата;الأجر;Word
waist;cintura;Taille;ウエスト;腰部;腰部;허리;cintura;taille;Vita;taille;midja;midje;talje;कमर;کمر;талия;وَسَط;Word
wait;esperar;Warten;待って;等待;等待;기다리다;espere;attendez;Aspettare;wachten;vänta;vente;vente;इंतज़ार;انتظار کرو;ждать;انتظر;Word
waiter;mesero;Kellner;ウェイター;服务员;服務員;웨이터;garçom;serveur;cameriere;bediende;servitör;kelner;tjener;परिचारक;ویٹر;официант;النادل;Word
wake;despertar;aufwachen;目を覚ます;唤醒;喚醒;일어나 다;acordar;se réveiller;veglia;wakker worden;vakna;våkne;vågne;जागना;جاگنا;будить;استيقظ;Word
walk;caminar;gehen;歩く;走;走;걷다;andar;marcher;camminare;wandeling;gå;gå;gå;टहलना;چلنا;ходить;يمشي;Word
walking;caminando;gehen;ウォーキング;步行;步行;걷는;andando;marche;a piedi;lopen;gående;gå;gå;टहलना;چلنا;гулять пешком;المشي;Word
wall;muro;Wand;壁;墙;牆;벽;parede;mur;parete;muur;vägg;vegg;væg;दीवार;دیوار;стена;حائط;Word
wallet;billetera;Geldbörse;財布;钱包;錢包;지갑;carteira;portefeuille;portafoglio;portemonnee;plånbok;lommebok;pung;बटुआ;پرس;кошелек;محفظة;Word
wander;deambular;wandern;さまよう;漫步;漫步;떠돌다;vagar;errer;passeggiata;dwalen;vandra;vandre;vandre;घूमना;گھومنا;бродить;تجول;Word
want;desear;wollen;欲しい;想;想;원하다;querer;vouloir;Volere;wil;vilja;ønsker;vil have;चाहना;چاہتے ہیں;хотеть;يريد;Word
war;guerra;Krieg;戦争;战争;戰爭;전쟁;guerra;guerre;guerra;oorlog;krig;krig;krig;युद्ध;جنگ;война;حرب;Word
warm;cálido;warm;暖かい;温暖的;溫暖的;따뜻한;esquentar;chaud;Caldo;warm;värma;varm;varm;गरम;گرم;теплый;دافيء;Word
warmth;calor;Wärme;暖かさ;温暖;溫暖;따뜻함;cordialidade;chaleur;calore;warmte;värme;varme;varme;गरमाहट;گرمی;тепло;الدفء;Word
